"Produktivitetsudviklingen efter prisenhed, type, branche og tid"

" ";" ";" ";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016"
"Årlig vækstrate i pct."
" ";"Arbejdsproduktivitet"
" ";" ";"93000 Sport, forlystelsesparker og andre fritidsaktiviteter";-12.80;-38.85;22.46;1.76;10.80;-2.42;-14.29;14.97;8.89;4.13;-3.77;0.38;6.31
" ";" ";"94000 Organisationer og foreninger";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"95000 Reparation af husholdningsudstyr";0.48;7.99;12.32;-8.40;-18.26;52.11;-2.71;-0.50;3.09;-7.45;1.82;-5.97;2.95
" ";" ";"96000 Frisører, vaskerier og andre serviceydelser";-1.52;-1.12;9.09;-4.42;1.79;-1.93;-2.20;-2.29;1.85;-3.31;-2.97;0.87;-0.40
" ";" ";"97000 Private husholdninger med ansat medhjælp";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"Markedsmæssig økonomi i alt";3.14;1.59;1.80;-0.61;-1.70;0.38;4.83;-0.01;2.05;1.04;0.95;0.88;1.05
" ";"It-kapitalintensitet"
" ";" ";"01000 Landbrug og gartneri";0.19;0.25;0.18;0.21;0.33;0.22;0.16;0.06;0.13;0.32;0.14;0.10;0.08
" ";" ";"02000 Skovbrug";0.13;0.13;0.07;-0.06;0.18;0.75;0.06;-0.03;0.06;0.42;-0.29;0.79;0.05
" ";" ";"03000 Fiskeri";0.55;0.17;1.02;1.28;-0.11;-0.26;-0.39;-0.37;-0.42;-0.30;-0.12;0.20;0.38
" ";" ";"06090 Råstofindvinding";1.97;1.26;0.49;-0.73;-0.82;-0.93;0.52;-0.13;-0.09;1.34;0.52;0.16;-0.13
" ";" ";"10120 Føde-, drikke- og tobaksvareindustri";0.28;0.21;0.07;0.18;0.08;0.15;0.24;0.14;0.30;0.25;0.06;0.11;0.11
" ";" ";"13150 Tekstil- og læderindustri";0.16;0.11;0.05;0.07;0.01;0.11;0.03;-0.01;0.07;-0.04;0.01;0.08;-0.02
" ";" ";"16000 Træindustri";-0.32;-0.16;-0.07;0.05;0.06;0.30;-0.01;-0.03;-0.05;0.03;0.01;-0.02;-0.04
" ";" ";"17000 Papirindustri";0.34;0.39;0.20;-0.20;-0.09;0.20;0.05;0.02;-0.11;0.02;-0.06;-0.01;-0.03
" ";" ";"18000 Trykkerier mv.";0.12;-0.07;-0.20;0.02;-0.15;0.38;0.19;-0.03;0.09;0.01;-0.02;0.00;-0.01
" ";" ";"19000 Olieraffinaderier mv.";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"20000 Kemisk industri";0.53;0.49;0.60;-0.04;0.06;0.42;0.37;0.17;0.24;0.17;0.21;-0.01;0.07
" ";" ";"21000 Medicinalindustri";1.47;0.97;0.69;0.11;-0.13;-0.23;0.42;0.16;0.26;0.15;0.01;0.04;0.08
" ";" ";"22000 Plast- og gummiindustri";0.59;0.51;0.37;0.11;0.24;1.04;0.86;0.48;0.35;0.52;0.16;0.43;0.15
" ";" ";"23000 Glas- og betonindustri";-0.18;0.16;0.20;0.07;0.09;0.47;0.33;0.01;0.39;0.26;0.02;-0.03;-0.12
" ";" ";"24000 Fremst. af metal";-0.46;0.12;-0.49;0.02;0.15;0.54;0.02;0.01;0.04;-0.04;-0.06;-0.03;-0.05
" ";" ";"25000 Metalvareindustri";0.01;0.04;0.04;-0.03;0.02;0.24;0.14;0.02;0.04;0.06;-0.01;0.01;-0.04
" ";" ";"26000 Elektronikindustri";0.28;-0.16;0.37;-0.08;0.16;0.70;0.37;0.04;0.24;0.16;0.54;0.27;0.18
" ";" ";"27000 Fremst. af elektrisk udstyr";-0.07;-0.22;-0.30;0.00;-0.26;0.78;0.51;0.01;0.36;0.36;-0.12;0.26;0.31
" ";" ";"28000 Maskinindustri";0.22;0.28;0.17;0.28;0.07;0.73;1.45;0.49;0.07;0.14;0.44;0.13;0.18
" ";" ";"29000 Fremst. af motorkøretøjer og dele hertil";-0.92;-0.80;0.76;-0.50;0.04;0.77;0.10;0.05;0.54;0.47;0.02;-0.20;-0.25
" ";" ";"30000 Fremst. af skibe og andre transportmidler";2.01;0.21;0.04;0.61;-0.23;0.12;0.16;-0.31;1.83;0.47;-0.35;0.16;0.56
" ";" ";"31320 Møbel- og anden industri";0.40;0.09;0.20;0.26;0.19;0.64;1.70;0.27;0.85;0.75;0.50;0.65;-0.39
" ";" ";"33000 Reparation og installation af maskiner og udstyr";0.35;0.01;0.00;-0.03;-0.03;-0.07;0.05;-0.13;-0.02;0.38;0.08;0.00;0.00
" ";" ";"35000 Energiforsyning";0.51;0.46;0.32;-0.18;-0.30;-0.32;-0.10;0.03;-0.02;0.09;0.01;0.30;0.14
" ";" ";"36000 Vandforsyning";0.12;0.14;1.11;0.41;-0.28;-0.05;-0.56;-0.10;-0.03;0.10;0.11;0.20;0.05
" ";" ";"37390 Renovation, affaldsbehandling mv.";0.36;0.11;0.42;0.22;0.00;0.29;0.39;-0.11;0.02;0.43;0.10;0.06;0.12
" ";" ";"41430 Bygge og anlæg";-0.12;-0.02;0.08;0.14;0.42;1.19;0.44;0.06;0.02;-0.07;0.07;0.08;0.02
" ";" ";"45000 Bilhandel og -værksteder mv.";0.11;0.08;-0.05;-0.05;-0.09;-0.03;-0.02;-0.06;0.01;0.01;-0.02;0.05;0.02
" ";" ";"46000 Engroshandel";0.49;0.55;0.21;-0.27;-0.35;0.19;0.05;0.03;0.65;0.32;0.24;0.44;0.21
" ";" ";"47000 Detailhandel";0.02;0.04;-0.05;0.09;-0.19;0.02;0.01;-0.01;0.08;0.04;0.04;0.08;0.09
" ";" ";"49000 Landtransport";-0.13;-0.07;-0.04;-0.03;0.01;0.05;0.00;0.02;0.01;0.02;0.06;0.09;0.06
